时间,岗位,地点,工资,要求,公司,方向,公司标签,福利待遇
1天前发布,Python开发工程师,珠海·香洲区,13k-25k,经验不限 / 不限,金山办公软件,"移动互联网 / 上市公司 / 2000人以上	云计算软件开发","待遇好,平台大,平台好,待遇好",
1天前发布,Python高级研发工程师-度假事业部(J11528),北京·中关村,20k-40k,经验3-5年 / 本科,去哪儿网,"移动互联网 / 不需要融资 / 2000人以上	旅游大数据软件开发",团队氛围融洽，帅哥美女多，年假多，年终奖,
2018/10/29,高级Python研发工程师,北京·团结湖,20k-35k,经验5-10年 / 本科,格上添富,移动互联网,"金融 / 不需要融资 / 150-500人	旅游Java","水果零食,扁平化管理,弹性工作"
1天前发布,高级Python工程师,北京·燕莎,25k-35k,经验5-10年 / 本科,Veeva,移动互联网,"企业服务 / 上市公司 / 500-2000人	医疗健康后端平台架构师",纽交所上市 美资 生命科学 股票
2018/11/3,Python开发工程师(增长黑客方向),杭州·长河,15k-25k,经验3-5年 / 不限,微点（杭州）网络科技有限公司,移动互联网,"电子商务 / 不需要融资 / 150-500人	定期体检美女多领导好扁平管理",高速增长
1天前发布,python开发工程师 8k-15k,大连·星海广场,8k-15k,经验应届毕业生 / 大专,暗泉信息,"信息安全 / 不需要融资 / 15-50人	网络爬虫Linux/Unix后端",钱多离家近,
1天前发布,数据工程师（Python）,深圳·南山区,13k-26k,经验3-5年 / 本科,华润置地商业地产总部,"其他 / 上市公司 / 500-2000人	大数据数据分析MySQL","500强,创新业务,福利好",
1天前发布,Python后端工程师,北京·朝阳区,15k-30k,经验1-3年 / 本科,图森未来,"移动互联网 / C轮 / 150-500人	弹性工作五险一金有力的餐品大牛云集","行业前沿,大牛云集,发展空间大,薪酬福利好",
1天前发布,Python技术经理,上海·大柏树,20k-30k,经验3-5年 / 不限,力武田,"移动互联网 / 不需要融资 / 少于15人	技术管理","薪资待遇好,项目稳定,回报优良",
2018/10/23,ＰＨＰ兼 Python 开发工程师,广州·东圃,13k-18k,经验不限 / 大专,广府数字,"区块链 电子商务 / 未融资 / 15-50人	移动互联网电商后端PHP","打造千万级,原始股权,公司核心骨,报酬丰厚",
3天前发布,Python后台工程师,上海·徐汇区,8k-12k,经验1-3年 / 本科,一条视频,"电子商务 / C轮 / 150-500人	电商视频后端docker","短视频,电商,13薪",
1天前发布,高级 Python 后台开发工程师,西安·高新技术产业开发区,20k-30k,经验3-5年 / 本科,星垂智能,移动互联网,"人工智能 / 不需要融资 / 15-50人	后端docker","国际化团队,扁平化管理,完善的福利"
1天前发布,python开发工程师,杭州·古荡,8k-15k,经验应届毕业生 / 本科,Club Factory,电子商务,"移动互联网 / C轮 / 150-500人	电商后端",弹性工作 周末双休
1天前发布,极光调研 - 高级 Python 工程师,深圳·南头,18k-35k,经验3-5年 / 本科,极光,移动互联网,"数据服务 / 上市公司 / 500-2000人	大数据Java","上市公司,14薪+,攻城狮氛围,牛掰团队"
1天前发布,Python后端开发工程师,北京·望京,20k-40k,经验3-5年 / 本科,Castbox,移动互联网,"文化娱乐 / B轮 / 50-150人	游戏支付服务器端JavaPHP","大牛云集,硅谷文化,免费三餐,租房补贴"
3天前发布,python web开发工程师,长沙·岳麓区,10k-20k,经验3-5年 / 大专,动脑科技,"教育 / 未融资 / 50-150人	信息安全Linux","前景广阔,福利优越,大平台,美女如云",
2天前发布,python运维开发工程师,南京·江宁区,10k-20k,经验3-5年 / 本科,孩子王,"移动互联网 / C轮 / 2000人以上	云计算Linux数据库","互联网氛围,母婴行业,独角兽企业",
1天前发布,python研发工程师,北京·四季青,15k-30k,经验5-10年 / 本科,CDS,"移动互联网 / 上市公司 / 150-500人	云计算云计算","薪酬福利好,云计算公司",
