时间,岗位,地点,工资,要求,公司,方向,公司标签,福利待遇
3天前发布,Python算法工程师（初中级）,北京·小西天,15k-25k,经验1-3年 / 本科,盛和资讯,移动互联网,"企业服务 / A轮 / 15-50人	大数据软件开发","高收入,热门领域,发展前景"
1天前发布,高级爬虫工程师/python开发,长沙·岳麓区,10k-15k,经验3-5年 / 大专,连载阅读,移动互联网,"电子商务 / A轮 / 15-50人	Hadoop数据挖掘数据分析","优秀团队,技术氛围好"
3天前发布,Python Web 后端研发工程师,杭州·拱墅区,15k-30k,经验1-3年 / 本科,美登科技,电子商务,"企业服务 / 不需要融资 / 15-50人	GO","六险二金,技术大神带,午餐补助,扁平化管理"
2018/10/29,python开发,苏州·独墅湖,15k-30k,经验3-5年 / 本科,问卷网@爱调研,"移动互联网 / B轮 / 150-500人	后端","带薪年假,定期体检,弹性时间,福利多多",
1天前发布,高级Python工程师,北京·海淀区,25k-50k,经验3-5年 / 本科,iHandy,"移动互联网 / 不需要融资 / 150-500人	移动互联网服务器端","硅谷氛围,高手如云,零食水果,六险一金",
1天前发布,数据开发专家 (Python),杭州·古荡,10k-20k,经验1-3年 / 本科,Club Factory,电子商务,"移动互联网 / C轮 / 150-500人	数据仓库","弹性工作,周末双休"
2天前发布,python开发工程师,上海·徐汇区,15k-30k,经验不限 / 不限,游族网络,移动互联网,"游戏 / 上市公司 / 500-2000人	游戏MySQL","工作氛围好,专业培训,发展空间大,上市公司"
1天前发布,Python开发工程师,北京·西北旺,15k-25k,经验3-5年 / 本科,PALMAX,"移动互联网 / A轮 / 50-150人	大数据JavaNode.js","14薪,技术新,大牛多,年度体检",
1天前发布,Python量化系统工程师,北京·大屯,20k-40k,经验3-5年 / 本科,百乘集团,"金融 / 上市公司 / 2000人以上	带薪年假午餐补助扁平管理技能培训","五险一金,绩效奖金,餐补,带薪年假",
3天前发布,python开发,上海·长阳路,10k-19k,经验不限 / 不限,瞬联软件科技（北京）有限公司,移动互联网 ,"企业服务 / 不需要融资 / 500-2000人	Java","六险一金,带薪休假,弹性工作制,竞生机制"
